door_count,role,source_path,exists,size_mb,package_dir,manifest
10,cabinet_skeleton_10door_v2,D:\Winnsen_Structure_Agent_Studio\workers\generated_models\SW-NATIVE-16029-CABINET-SKELETON-SERIES-20260521\native_16029_10door_cabinet_skeleton_v2.SLDASM,yes,1.649,D:\Winnsen_Structure_Agent_Studio\workers\handoffs\16029_10_12_14_STEP_ENGINEERING_HANDOFF_20260519\10door\solidworks_native,D:\Winnsen_Structure_Agent_Studio\workers\handoffs\16029_10_12_14_STEP_ENGINEERING_HANDOFF_20260519\10door\solidworks_native\native_dependency_manifest.csv
10,maintenance_door_lock_hole,C:\sw16029_standard_ascii\维护门锁孔.SLDPRT,yes,0.175,D:\Winnsen_Structure_Agent_Studio\workers\handoffs\16029_10_12_14_STEP_ENGINEERING_HANDOFF_20260519\10door\solidworks_native,D:\Winnsen_Structure_Agent_Studio\workers\handoffs\16029_10_12_14_STEP_ENGINEERING_HANDOFF_20260519\10door\solidworks_native\native_dependency_manifest.csv
10,maintenance_door_panel,C:\sw16029_standard_ascii\应急维护门.SLDPRT,yes,0.255,D:\Winnsen_Structure_Agent_Studio\workers\handoffs\16029_10_12_14_STEP_ENGINEERING_HANDOFF_20260519\10door\solidworks_native,D:\Winnsen_Structure_Agent_Studio\workers\handoffs\16029_10_12_14_STEP_ENGINEERING_HANDOFF_20260519\10door\solidworks_native\native_dependency_manifest.csv
10,auto_lock_latch,C:\sw16029_standard_ascii\自动锁闭插销(索科斯D-3016Z-2).SLDPRT,yes,0.15,D:\Winnsen_Structure_Agent_Studio\workers\handoffs\16029_10_12_14_STEP_ENGINEERING_HANDOFF_20260519\10door\solidworks_native,D:\Winnsen_Structure_Agent_Studio\workers\handoffs\16029_10_12_14_STEP_ENGINEERING_HANDOFF_20260519\10door\solidworks_native\native_dependency_manifest.csv
10,push_latch_mount_plate,C:\sw16029_standard_ascii\按钮插销固定板.SLDPRT,yes,0.358,D:\Winnsen_Structure_Agent_Studio\workers\handoffs\16029_10_12_14_STEP_ENGINEERING_HANDOFF_20260519\10door\solidworks_native,D:\Winnsen_Structure_Agent_Studio\workers\handoffs\16029_10_12_14_STEP_ENGINEERING_HANDOFF_20260519\10door\solidworks_native\native_dependency_manifest.csv
10,electronics_board_bracket,C:\sw16029_standard_ascii\电路板支架.SLDPRT,yes,0.293,D:\Winnsen_Structure_Agent_Studio\workers\handoffs\16029_10_12_14_STEP_ENGINEERING_HANDOFF_20260519\10door\solidworks_native,D:\Winnsen_Structure_Agent_Studio\workers\handoffs\16029_10_12_14_STEP_ENGINEERING_HANDOFF_20260519\10door\solidworks_native\native_dependency_manifest.csv
10,lock_control_board_24ch,C:\sw16029_standard_ascii\LK-4-6-V2.0 24口锁控板.SLDPRT,yes,1.015,D:\Winnsen_Structure_Agent_Studio\workers\handoffs\16029_10_12_14_STEP_ENGINEERING_HANDOFF_20260519\10door\solidworks_native,D:\Winnsen_Structure_Agent_Studio\workers\handoffs\16029_10_12_14_STEP_ENGINEERING_HANDOFF_20260519\10door\solidworks_native\native_dependency_manifest.csv
10,m9_v11_board,C:\sw16029_standard_ascii\M9 V1.1.SLDPRT,yes,0.103,D:\Winnsen_Structure_Agent_Studio\workers\handoffs\16029_10_12_14_STEP_ENGINEERING_HANDOFF_20260519\10door\solidworks_native,D:\Winnsen_Structure_Agent_Studio\workers\handoffs\16029_10_12_14_STEP_ENGINEERING_HANDOFF_20260519\10door\solidworks_native\native_dependency_manifest.csv
10,switching_power_supply_assembly,C:\sw16029_standard_ascii\开关模式电源 装配.SLDASM,yes,0.31,D:\Winnsen_Structure_Agent_Studio\workers\handoffs\16029_10_12_14_STEP_ENGINEERING_HANDOFF_20260519\10door\solidworks_native,D:\Winnsen_Structure_Agent_Studio\workers\handoffs\16029_10_12_14_STEP_ENGINEERING_HANDOFF_20260519\10door\solidworks_native\native_dependency_manifest.csv
10,wifi_serial_server,C:\sw16029_standard_ascii\WIFI串口服务器(USR-WIFI232-610).SLDPRT,yes,0.165,D:\Winnsen_Structure_Agent_Studio\workers\handoffs\16029_10_12_14_STEP_ENGINEERING_HANDOFF_20260519\10door\solidworks_native,D:\Winnsen_Structure_Agent_Studio\workers\handoffs\16029_10_12_14_STEP_ENGINEERING_HANDOFF_20260519\10door\solidworks_native\native_dependency_manifest.csv
