relative_path,source_bucket,primary_role,roles,door_ratio,thickness_mm_from_name,quality_status,manufacturing_bbox_source,width_mm,height_mm,entity_count,line_count,circle_count,arc_count,hole_candidate_count,closed_polyline_count,bend_layer_entity_count,quality_flags,related_sldprt_count,related_slddrw_count,related_sldasm_count
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/1.工程图20190423/圳佳安 智能快递寄存柜锁 ZJA-S500/资料/箱柜电子锁ZJA-S500安装尺寸图.dxf,backup_reference,lock_or_hinge_interface,lock_or_hinge_interface,,,usable_rule_evidence,model_space_bbox,251.45,95.03,93,63,5,10,5,0,28,needs_closed_loop_rebuild,0,0,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/RFID-RC522A支架展开图.DXF,backup_reference,unclassified,unclassified,,,usable_rule_evidence,model_space_bbox,187.4,75.0,40,8,24,8,24,0,0,needs_closed_loop_rebuild,4,2,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/TG2480打印机支架展开图.DXF,backup_reference,unclassified,unclassified,,,usable_rule_evidence,model_space_bbox,296.6,115.3,68,22,22,24,22,0,0,needs_closed_loop_rebuild,2,4,2
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/U型锁钩垫板展开图.dxf,backup_reference,door_stiffener_or_press_strip,door_stiffener_or_press_strip;lock_or_hinge_interface,,,usable_rule_evidence,model_space_bbox,4.96,17.4,35,8,18,8,10,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,2,3,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/上盖壳体前侧板展开图.DXF,backup_reference,side_panel,side_panel;top_cover,,,usable_rule_evidence,model_space_bbox,1000.0,109.119,47,32,14,0,14,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,4,4,3
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/上盖壳体后侧板展开图.dxf,backup_reference,side_panel,side_panel;top_cover,,,usable_rule_evidence,model_space_bbox,1000.0,182.8,86,64,13,8,13,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,4,4,3
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/上盖壳体左侧板展开图.dxf,backup_reference,side_panel,side_panel;top_cover,,,usable_rule_evidence,model_space_bbox,180.8,502.0,80,62,13,4,13,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,4,4,3
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/上盖壳体底板展开图.DXF,backup_reference,base_or_bottom,base_or_bottom;top_cover,,,usable_rule_evidence,model_space_bbox,1025.2,609.4,85,60,24,0,24,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,4,4,3
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/中控内侧板展开图.DXF,backup_reference,side_panel,side_panel,,,usable_rule_evidence,model_space_bbox,81.899,561.797,5,5,0,0,0,0,0,needs_closed_loop_rebuild,1,2,1
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/中控操作面板展开图.DXF,backup_reference,unclassified,unclassified,,,usable_rule_evidence,model_space_bbox,365.0,666.15,134,12,120,0,120,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,1,2,1
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/中控门插销固定板展开图.DXF,backup_reference,lock_or_hinge_interface,lock_or_hinge_interface,,,usable_rule_evidence,model_space_bbox,17.0,40.1,16,14,2,0,2,0,0,needs_closed_loop_rebuild,8,6,2
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/中控门板展开图.DXF,backup_reference,door_panel,door_panel,,,usable_rule_evidence,model_space_bbox,472.5,638.5,76,66,8,2,8,0,0,needs_closed_loop_rebuild,2,3,2
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/信用卡面板(通配纸币口)展开图.DXF,backup_reference,unclassified,unclassified,,,usable_rule_evidence,model_space_bbox,121.5,152.0,32,8,16,8,16,0,0,needs_closed_loop_rebuild,1,1,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/储物柜门板1╱12展开图.dxf,backup_reference,door_panel,door_panel,1/12,,usable_rule_evidence,model_space_bbox,473.4,181.9,72,65,4,2,4,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,3,2,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/储物柜门板2╱12.dxf,backup_reference,door_panel,door_panel,2/12,,usable_rule_evidence,model_space_bbox,473.4,334.4,51,37,4,9,4,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,3,2,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/储物柜门板3╱12展开图.dxf,backup_reference,door_panel,door_panel,3/12,,usable_rule_evidence,model_space_bbox,946.8,973.8,72,65,4,2,4,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,3,2,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/储物柜门板4╱12展开图.dxf,backup_reference,door_panel,door_panel,4/12,,usable_rule_evidence,model_space_bbox,946.8,1278.8,72,65,4,2,4,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,3,2,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/储物柜门板5╱12展开图.dxf,backup_reference,door_panel,door_panel,5/12,,usable_rule_evidence,model_space_bbox,946.8,1583.8,72,65,4,2,4,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,3,2,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/储物柜门板6╱12展开图.dxf,backup_reference,door_panel,door_panel,6/12,,usable_rule_evidence,model_space_bbox,946.8,1888.8,72,65,4,2,4,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,3,2,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/充电板支架展开图.dxf,backup_reference,unclassified,unclassified,,,usable_rule_evidence,model_space_bbox,300.0,130.0,65,12,44,8,44,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,1,2,1
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/后下门板展开图.dxf,backup_reference,door_panel,door_panel,,,usable_rule_evidence,model_space_bbox,1006.8,1908.8,83,48,30,4,30,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,2,6,4
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/后门加强筋展开图.dxf,backup_reference,rear_or_service_panel,rear_or_service_panel,,,usable_rule_evidence,model_space_bbox,213.6,1740.0,13,4,8,0,8,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,2,2,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/层板(控制安装)展开图.DXF,backup_reference,shelf_or_horizontal_layer,shelf_or_horizontal_layer,,,usable_rule_evidence,model_space_bbox,478.7,360.6,380,204,48,128,48,0,0,needs_closed_loop_rebuild,2,2,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/层板(控制安装2)展开图.DXF,backup_reference,shelf_or_horizontal_layer,shelf_or_horizontal_layer,,,usable_rule_evidence,model_space_bbox,478.7,370.6,115,94,8,12,8,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,2,2,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/层板(电源安装)展开图.DXF,backup_reference,electrical_or_electric_lock_reference,electrical_or_electric_lock_reference;shelf_or_horizontal_layer,,,usable_rule_evidence,model_space_bbox,478.7,330.6,354,182,72,100,72,0,0,needs_closed_loop_rebuild,1,1,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/应急维护门展开图.dxf,backup_reference,door_panel,door_panel;rear_or_service_panel,,,usable_rule_evidence,model_space_bbox,1871.4,110.4,44,36,4,4,4,0,0,needs_closed_loop_rebuild,2,6,2
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/底座加强筋展开图.dxf,backup_reference,base_or_bottom,base_or_bottom,,,usable_rule_evidence,model_space_bbox,226.8,1960.4,81,16,56,8,56,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,5,4,3
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/底座外框展开图.dxf,backup_reference,base_or_bottom,base_or_bottom,,,usable_rule_evidence,model_space_bbox,2677.0,5200.0,93,46,46,0,46,0,2,contains_paper_space_entities;needs_closed_loop_rebuild;layout_or_titleblock_noise_possible,4,4,3
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/底座底板展开图.dxf,backup_reference,base_or_bottom,base_or_bottom,,,usable_rule_evidence,model_space_bbox,2671.5,4934.0,209,96,32,80,32,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,8,4,3
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/扫描器固定焊件展开图.DXF,backup_reference,electrical_or_electric_lock_reference,electrical_or_electric_lock_reference,,,usable_rule_evidence,model_space_bbox,601.73,506.427,50,45,4,0,4,0,0,needs_closed_loop_rebuild,2,1,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/拆换面板(刷卡器╱纸币器+打印机+读卡器)展开图.DXF,backup_reference,electrical_or_electric_lock_reference,electrical_or_electric_lock_reference,,,usable_rule_evidence,model_space_bbox,342.0,220.0,92,24,44,24,44,0,0,needs_closed_loop_rebuild,3,5,2
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/拆换面板(刷卡器╱纸币器+键盘)展开图.DXF,backup_reference,electrical_or_electric_lock_reference,electrical_or_electric_lock_reference,,,usable_rule_evidence,model_space_bbox,342.0,220.0,42,20,14,8,14,0,0,needs_closed_loop_rebuild,3,6,3
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/拆换面板(纸币+硬币+扫描)展开图.DXF,backup_reference,electrical_or_electric_lock_reference,electrical_or_electric_lock_reference,,,usable_rule_evidence,model_space_bbox,342.0,220.0,104,32,32,40,32,0,0,needs_closed_loop_rebuild,2,4,2
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/按钮插销固定板展开图.dxf,backup_reference,lock_or_hinge_interface,lock_or_hinge_interface,,,usable_rule_evidence,model_space_bbox,35.0,50.0,113,40,16,56,16,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,8,7,2
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/插销固定板展开图.dxf,backup_reference,lock_or_hinge_interface,lock_or_hinge_interface,,,usable_rule_evidence,model_space_bbox,4.18,1.8,17,14,2,0,0,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,8,6,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/显示器固定垫板展开图.DXF,backup_reference,electrical_or_electric_lock_reference,electrical_or_electric_lock_reference,,,usable_rule_evidence,model_space_bbox,200.0,12.0,9,4,5,0,5,0,0,needs_closed_loop_rebuild,2,2,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/条码扫描器面板(通配纸币口)展开图.DXF,backup_reference,electrical_or_electric_lock_reference,electrical_or_electric_lock_reference,,,usable_rule_evidence,model_space_bbox,121.5,152.0,24,8,8,8,8,0,0,needs_closed_loop_rebuild,3,2,3
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/条码扫面安装支架展开图.DXF,backup_reference,unclassified,unclassified,,,usable_rule_evidence,model_space_bbox,105.2,84.8,32,8,12,12,12,0,0,needs_closed_loop_rebuild,1,1,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/柜门加强筋2╱12展开图.dxf,backup_reference,door_stiffener_or_press_strip,door_stiffener_or_press_strip,2/12,,usable_rule_evidence,model_space_bbox,112.4,287.5,5,4,0,0,0,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,3,2,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/柜门加强筋3╱12展开图.dxf,backup_reference,door_stiffener_or_press_strip,door_stiffener_or_press_strip,3/12,,usable_rule_evidence,model_space_bbox,112.4,440.0,5,4,0,0,0,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,3,2,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/柜门加强筋4╱12展开图.dxf,backup_reference,door_stiffener_or_press_strip,door_stiffener_or_press_strip,4/12,,usable_rule_evidence,model_space_bbox,224.8,1185.0,5,4,0,0,0,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,3,2,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/柜门加强筋5╱12展开图.dxf,backup_reference,door_stiffener_or_press_strip,door_stiffener_or_press_strip,5/12,,usable_rule_evidence,model_space_bbox,224.8,1490.0,5,4,0,0,0,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,3,2,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/柜门加强筋6╱12展开图.dxf,backup_reference,door_stiffener_or_press_strip,door_stiffener_or_press_strip,6/12,,usable_rule_evidence,model_space_bbox,224.8,1795.0,5,4,0,0,0,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,3,2,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/浩鑫电脑(XC60J)抱箍展开图.DXF,backup_reference,unclassified,unclassified,,,usable_rule_evidence,model_space_bbox,372.2,25.3,54,16,10,28,10,0,0,needs_closed_loop_rebuild,2,2,1
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/电路板支架展开图.DXF,backup_reference,electrical_or_electric_lock_reference,electrical_or_electric_lock_reference,,,usable_rule_evidence,model_space_bbox,340.0,378.6,42,4,33,4,33,0,0,contains_paper_space_entities;needs_closed_loop_rebuild,2,2,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/监控安装焊件展开图.DXF,backup_reference,unclassified,unclassified,,,usable_rule_evidence,model_space_bbox,140.0,190.0,65,11,12,42,12,0,0,needs_closed_loop_rebuild,1,1,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/硬币器封板展开图.DXF,backup_reference,unclassified,unclassified,,,usable_rule_evidence,model_space_bbox,64.0,124.0,20,4,8,8,8,0,0,needs_closed_loop_rebuild,1,1,0
workers/analysis/desktop_reference/16029_金标准原始素材_U盘_20260526/10.备份/2.钣金展开图20190423/箱体侧板加强筋1展开图.dxf,backup_reference,side_panel,side_panel,,,usable_rule_evidence,model_space_bbox,50.0,1805.8,454,444,10,0,10,0,0,needs_closed_loop_rebuild,4,2,0
